ruta_relativa,dataset,clase_original,parte_planta,formato
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\46_jpg.rf.70b5c3e35821dbf8e34960ba7e8d688a.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\476_jpg.rf.d9cafc584c9f4587f758f9ac24ac0c6a.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\47_jpg.rf.7083bea2d9732db1a0c890f95a18bfa2.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\481_jpg.rf.3a43054656f11eebda0bd4f41d2fd7e6.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\48_jpg.rf.3fd224c5caf7b4b0e20b1b89f92b115f.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\497_jpg.rf.09fd02290e711eac97d96bde23940440.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\500_jpg.rf.ac3a44f513212b430b784e77987f0f00.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\501_jpg.rf.af3d94840f352ba456afdf0724310a24.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\505_jpg.rf.f3b4ad12302ae8df8ebacce9c7629c58.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\509_jpg.rf.813add8979a95d4f86c698944b1c3fb5.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\50_jpg.rf.a1deded67ea0fd7c3010befc85b98e79.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\511_jpg.rf.017ae3b18283b12d7412a25b0de620d0.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\519_jpg.rf.67cfdfcfe460f6f348e06c654292817a.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\51_jpg.rf.a4baf143ee26a13173f0c2b084488470.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\526_jpg.rf.0c1166a73a6d5c9ba9f077e3a5fed1a2.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\52_jpg.rf.38e6d19fde7202a7885607a6795de761.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\541_jpg.rf.4a3ee10fe0e0460450dea908a3b7093e.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\550_jpg.rf.0329403ad7b122158389f50ba367566b.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\552_jpg.rf.b50e91582f1c30670813e5d5a832eb1b.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\55_jpg.rf.92f620250ad24523d26eb529f31bdc17.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\560_jpg.rf.c895b2d4df3d8acd4979ba320eb041d4.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\561_jpg.rf.0120c2103e4c6ea9a74aedf28e9c9905.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\562_jpg.rf.60e1e04bc7f5c4ff0522c0968ce6e411.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\567_jpg.rf.1ad2db2d13c2ddac529b22f9d0f9576d.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\56_jpg.rf.b1b84c212b5fa68ef83f0dc1366b377a.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\572_jpg.rf.3f4c5a90f4810304679a06029161e430.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\579_jpg.rf.02e245ac53e47684911124d9f57e6baf.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\586_jpg.rf.10ebac41ac4f95c9eb9d7950592c206c.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\589_jpg.rf.0bfa9ae1b18a73ebfa1a108bbdfcd84e.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\58_jpg.rf.dc71680089cb9631a79602f99b3ba554.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\590_jpg.rf.5f0f570f8709eb0ebc8d7979be0b3b7a.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\591_jpg.rf.00cb06e455bc2baaddc92c013093d0dd.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\596_jpg.rf.0e19ad25ffd5fa7423b845bacf6b9f68.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\597_jpg.rf.0b1625bd05d139365801ce3e308eb527.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\59_jpg.rf.542c4c7cc87ac21b031e94051e2bf35f.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\604_jpg.rf.2830a2fe9490ea97f44d5aee2e56bb1c.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\60_jpg.rf.34d790da4d724c3eb29286a4ec29d7f6.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\611_jpg.rf.1058f0192cbcf49501d1b672beb4c00e.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\615_jpg.rf.e433ff0092538889d9ef341ba623e2bb.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\619_jpg.rf.0f6d99eb7d3a8b1e5d0c19f9136ae36f.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\61_jpg.rf.e655c9c49e2ea360205abb56eb80b4d7.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\628_jpg.rf.f99b274690f9b566e802490746052d99.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\638_jpg.rf.daa8540bdac9148dc90b877380fe96df.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\63_jpg.rf.f4d1a32bd0ef9f29782c5783e151559a.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\640_jpg.rf.eb05c934ebc51efe46c5b1acdfb5f842.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\64_jpg.rf.a3fc98b8df3a3b5b859ae513ac40bf74.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\652_jpg.rf.99611280a4111eb793135340067843dd.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\65_jpg.rf.3fb73349db1d85fc3a8a685a542802e0.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\660_jpg.rf.8f70465a9a5c3fc65d0863230f292b3e.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\661_jpg.rf.b683fcef6e050a1b93987e0a7ed71307.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\668_jpg.rf.a8a8ba3ea2845d9ece185ba46a48179b.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\66_jpg.rf.d8b2738408cc7c89fd600390de4612f3.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\678_jpg.rf.6829b7303fb56f31e68c0921e2b8fc53.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\682_jpg.rf.721d266efdba663ff57c4bb6edc23cc6.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\683_jpg.rf.fa80f69744277cad8807441ae05a20b0.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\686_jpg.rf.46260e675919c8bc85f66b3943c8da35.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\689_jpg.rf.c1f69037e19ba2efd98fb5f8c1a3d1a7.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\68_jpg.rf.bb35bfa41a4607e51e526ae89f6cedd6.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\695_jpg.rf.b57b735151ef59b85fd094e177ed69ff.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\699_jpg.rf.d3eb0de21670091aa69c4e8b14e43851.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\69_jpg.rf.e71f281517fb8879ace345e36d9043f9.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\702_jpg.rf.8f93b854b8a2c6422dc50e77cfb059a6.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\704_jpg.rf.d84b9dbc81172d6783c939ea553d0dab.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\705_jpg.rf.9c8f5b197238fcefe3891fa6e8278d13.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\711_jpg.rf.8d20702cc87270097ab7965b8e8aabb1.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\718_jpg.rf.99e4afc74171c572ff8f2bdbaa6a9399.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\719_jpg.rf.f40625b9e660ecaa274206f8dba2b783.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\721_jpg.rf.599f40f3f482337ee8d2ff3ce758c3a5.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\722_jpg.rf.f0e0485b33306e1a3be8318c4a7d6e7d.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\728_jpg.rf.f75a9e7026a7c13f2ad39a0b6fd1da32.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\732_jpg.rf.0d7d0d0b4d9a441ad79f8701b15ec393.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\737_jpg.rf.adbc0b6997d0ab3dd93ed304144d1c97.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\738_jpg.rf.804e208adbf4dbb24470bc064a0c517a.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\739_jpg.rf.425540753d52d3009b780b819597ae5e.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\73_jpg.rf.67222512f4bcda31ed19e272279b6b36.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\742_jpg.rf.0ed56b989bb50ed98f4301318d90a3e4.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\743_jpg.rf.042f4707efa87c2f40c7ccf67dfa2398.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\744_jpg.rf.3e7e42d47d1a066613e0908961483a09.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\74_jpg.rf.2d115e553c71e85ff5568fcd502abff4.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\754_jpg.rf.0d929c2746bf1dc38944dc80079b829c.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\761_jpg.rf.420298451dd891aaf82a6680316c15fe.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\767_jpg.rf.1004394f09646ba1efdcb0636910e17d.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\771_jpg.rf.6864abded5062764038d5476285930e9.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\785_jpg.rf.e855e6581bd885f65cdfa2598d7593a3.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\78_jpg.rf.cf70bb50461c82d1be500898426a9c04.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\79_jpg.rf.622c8d1bf0941e31132b3a1f048fad3f.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\801_jpg.rf.0532e171e3199bb96c59fa5372651702.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\804_jpg.rf.8cac877e5822eedb34c566fe150fe681.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\809_jpg.rf.7c45212486cb1678cb117c68c354eac1.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\814_jpg.rf.19d73a511c19b74934a6680808ce3064.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\819_jpg.rf.bae0cefdfabe9da0208f1fddf49712c3.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\81_jpg.rf.9efd864dced9f98064adee1890985634.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\839_jpg.rf.54894055e0de34b5b241f25fe583098b.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
