split,clase,dataset_origen,clase_original,ruta
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (458).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (231).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (359).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1550_jpg.rf.e594c55e4af87d58fe901e9719c502b1_box3.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (910).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (795).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1567).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3464).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (27).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (517).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (80).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (137).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (552).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2794).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (297).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (345).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1835).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1021).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (514).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (926).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2502).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1287).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (273).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3432).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1143).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (865).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (385).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (681).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (181).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (163).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (506).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (142).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1802).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (451).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (268).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3202).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1440).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2775).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3102).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (742).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2094).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (12).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (902).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (921).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (308).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3337).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1001).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (564).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (867).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (278).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3607).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (409).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (548).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (821).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (209).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1431).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3002).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (693).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1090).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (831).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (809).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2589).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (915).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (596).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2050).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (292).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (135).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (400).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (873).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2246).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (455).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1763).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (165).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (724).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1057).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (540).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3671).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (689).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1997).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1718_jpg.rf.4d1a8c2d9fca8671dfbbe80ffb078681_box1.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (512).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (469).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1765).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (79).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (933).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2378).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1569).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (473).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2535).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3098).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (909).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (187).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (360).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (845).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (192).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (947).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (349).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3460).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1508).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2917).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2373).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (737).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3114).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (437).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1918).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (680).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1692_jpg.rf.91e6adda5cd88e7a38caf0cecd5f1917_box2.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (694).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (683).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (85).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (925).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (318).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2929).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1700_jpg.rf.6ec8417af6c14d56e030655b3fb17d0b_box1.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (884).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (194).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (625).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3746).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2636).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1129).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (800).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (323).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (446).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (766).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (195).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (982).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (110).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2828).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1660).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3611).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (116).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (268).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (192).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (596).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3003).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (802).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3211).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1025).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2455).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (789).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (909).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3698).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (234).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1192).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3261).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (413).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1362).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (859).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1430).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (979).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1747).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (388).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1737).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1258).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (216).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (487).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2958).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3810).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (314).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (579).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (525).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (195).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2344).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (414).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3278).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (762).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (275).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_930_jpg.rf.cd1ee540b3074596450eb7731a30642c_box1.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (573).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2051).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2357).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1760).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (374).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3461).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (714).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (636).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2475).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (711).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (697).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2536).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (345).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (520).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (141).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (78).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2017).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2060).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1139).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (285).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (199).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1706_jpg.rf.6b0da8e441753bdfcaec9c29d24f8d7a_box4.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (383).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1086).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (895).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (539).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_33_jpg.rf.616852987d2f7416e33865f5f7c3f5e2_box1.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (618).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (154).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (902).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (814).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3218).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1228).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (774).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (203).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (90).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (969).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (398).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (71).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (813).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1822).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1652).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2398).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2135).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (118).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2251).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1101).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (701).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (801).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2695).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (126).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_62_jpg.rf.beabc9ba4360829b56ccb4d400f4c4b2_box0.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (775).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (720).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2045).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (610).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_54_jpg.rf.d3d4bf9ce5e86b36c45100723a37683e_box0.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3248).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (63).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (397).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3389).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (638).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1069).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (686).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (331).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (373).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (603).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1137).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1481).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (615).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2367).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (567).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1328).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (132).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (793).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (581).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2110).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2942).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (573).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (870).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (693).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2480).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (411).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (574).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (42).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (254).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (161).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1943).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (682).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1880).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1277).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1318).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (103).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (321).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (42).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (294).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2891).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (849).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (745).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (719).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (67).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (600).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1673_jpg.rf.ead64b6950e7c3b348ae3af318b4505d_box0.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (762).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (340).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (18).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3686).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3168).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (337).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (140).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1683).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (911).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2286).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2644).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2512).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3396).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2419).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3285).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (683).jpg
