split,clase,dataset_origen,clase_original,ruta,es_pequena
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2536).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (345).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (141).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (78).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2060).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (285).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1706_jpg.rf.6b0da8e441753bdfcaec9c29d24f8d7a_box4.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1086).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (895).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_33_jpg.rf.616852987d2f7416e33865f5f7c3f5e2_box1.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (618).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (902).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3218).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (203).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (969).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (398).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (71).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (813).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1822).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1652).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (118).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2251).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1101).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2695).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_62_jpg.rf.beabc9ba4360829b56ccb4d400f4c4b2_box0.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (610).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_54_jpg.rf.d3d4bf9ce5e86b36c45100723a37683e_box0.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (63).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3389).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (615).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (567).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1328).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (132).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2110).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2942).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (870).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (411).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (574).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (42).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (254).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (161).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (682).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1880).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1277).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1318).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (321).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (42).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (849).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1673_jpg.rf.ead64b6950e7c3b348ae3af318b4505d_box0.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (762).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3686).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3168).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2644).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2512).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2419).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (173).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (554).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2735).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1706).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (278).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (141).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2374).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1615).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (251).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (433).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3364).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (781).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (8).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (313).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (740).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1250).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (459).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (217).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (780).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1316_jpg.rf.f9efb0c736c8c175d738f65420f0179a_box1.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2773).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1658_jpg.rf.de8129e83e49fcce63c0b8de61658d76_box0.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3650).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3394).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (642).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (153).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (740).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3482).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (466).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2844).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (896).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1971).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3173).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (540).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (309).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (446).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (408).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (7).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (865).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (128).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (606).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2732).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1602).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1042).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (936).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (735).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2211).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (135).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (919).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (486).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2658).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1884).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (783).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3446).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1893).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1051).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (936).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (852).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1336).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (12).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3801).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1963).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (934).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (494).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (265).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1724_jpg.rf.e30c2e59c2f9f14f18d63f10d7538c05_box1.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1625).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1940).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (64).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2377).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1645).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (46).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (107).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_648_jpg.rf.a8b66c1487a85de9d9eb3b4c75c37243_box0.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (242).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (140).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (395).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2303).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (183).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1654_jpg.rf.d14b965ce146aa2f8c01a0d9b5f5142e_box1.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1097).jpg,False
